,Case ID,Activity,type,Start Timestamp,Complete Timestamp,Resource,Event Duration
71,29,NextCall,DriverRequest,2018-01-01 10:39:00,2018-01-01 10:39:00,System,0 days 00:00:00.000000000
72,29,AcceptDriverReq,DriverRequest,2018-01-01 10:39:00,2018-01-01 10:57:00,System,0 days 00:18:00.000000000
73,30,NextCall,CarRequest,2018-01-01 10:40:00,2018-01-01 10:40:00,System,0 days 00:00:00.000000000
74,30,AcceptCarReq,CarRequest,2018-01-01 10:40:00,2018-01-01 10:40:00,System,0 days 00:00:00.000000000
75,31,NextCall,DriverRequest,2018-01-01 10:41:00,2018-01-01 10:41:00,System,0 days 00:00:00.000000000
76,31,AcceptDriverReq,DriverRequest,2018-01-01 10:41:00,2018-01-01 11:00:00,System,0 days 00:19:00.000000000
77,32,NextCall,CarRequest,2018-01-01 10:43:00,2018-01-01 10:43:00,System,0 days 00:00:00.000000000
78,32,RejectCall,CarRequest,2018-01-01 10:43:00,2018-01-01 10:43:00,System,0 days 00:00:00.000000000
79,33,NextCall,DriverRequest,2018-01-01 10:44:00,2018-01-01 10:44:00,System,0 days 00:00:00.000000000
80,33,AcceptDriverReq,DriverRequest,2018-01-01 10:44:00,2018-01-01 11:02:00,System,0 days 00:18:00.000000000
81,34,NextCall,DriverRequest,2018-01-01 10:45:00,2018-01-01 10:45:00,System,0 days 00:00:00.000000000
82,34,AcceptDriverReq,DriverRequest,2018-01-01 10:45:00,2018-01-01 11:04:00,System,0 days 00:19:00.000000000
83,8,DoneCarReq,CarRequest,2018-01-01 10:47:00,2018-01-01 10:47:00,System,0 days 00:00:00.000000000
84,12,ProcessNextCarReq,CarRequest,2018-01-01 10:47:00,2018-01-01 11:05:00,Monika,0 days 00:18:00.000000000
85,35,NextCall,DriverRequest,2018-01-01 10:47:00,2018-01-01 10:47:00,System,0 days 00:00:00.000000000
86,35,RejectCall,DriverRequest,2018-01-01 10:47:00,2018-01-01 10:47:00,System,0 days 00:00:00.000000000
87,36,NextCall,CarRequest,2018-01-01 10:48:00,2018-01-01 10:48:00,System,0 days 00:00:00.000000000
88,36,RejectCall,CarRequest,2018-01-01 10:48:00,2018-01-01 10:48:00,System,0 days 00:00:00.000000000
89,37,NextCall,DriverRequest,2018-01-01 10:49:00,2018-01-01 10:49:00,System,0 days 00:00:00.000000000
90,37,AcceptDriverReq,DriverRequest,2018-01-01 10:49:00,2018-01-01 11:07:00,System,0 days 00:18:00.000000000
91,9,DoneCarReq,CarRequest,2018-01-01 10:49:00,2018-01-01 10:49:00,System,0 days 00:00:00.000000000
92,14,ProcessNextCarReq,CarRequest,2018-01-01 10:49:00,2018-01-01 11:08:00,Chandler,0 days 00:19:00.000000000
93,11,ProcessNextdriverReq,DriverRequest,2018-01-01 10:50:00,2018-01-01 11:08:00,Pheobi,0 days 00:18:00.000000000
94,5,DoneDriverReq,DriverRequest,2018-01-01 10:50:00,2018-01-01 10:50:00,System,0 days 00:00:00.000000000
95,38,NextCall,CarRequest,2018-01-01 10:51:00,2018-01-01 10:51:00,System,0 days 00:00:00.000000000
96,38,RejectCall,CarRequest,2018-01-01 10:51:00,2018-01-01 10:51:00,System,0 days 00:00:00.000000000
97,13,ProcessNextdriverReq,DriverRequest,2018-01-01 10:52:00,2018-01-01 11:10:00,Joe,0 days 00:18:00.000000000
98,7,DoneDriverReq,DriverRequest,2018-01-01 10:52:00,2018-01-01 10:52:00,System,0 days 00:00:00.000000000
99,39,NextCall,DriverRequest,2018-01-01 10:52:00,2018-01-01 10:52:00,System,0 days 00:00:00.000000000
100,39,RejectCall,DriverRequest,2018-01-01 10:52:00,2018-01-01 10:52:00,System,0 days 00:00:00.000000000
101,40,NextCall,DriverRequest,2018-01-01 10:53:00,2018-01-01 10:53:00,System,0 days 00:00:00.000000000
102,40,RejectCall,DriverRequest,2018-01-01 10:53:00,2018-01-01 10:53:00,System,0 days 00:00:00.000000000
103,10,DoneCarReq,CarRequest,2018-01-01 10:53:00,2018-01-01 10:53:00,System,0 days 00:00:00.000000000
104,15,ProcessNextCarReq,CarRequest,2018-01-01 10:53:00,2018-01-01 11:12:00,Ross,0 days 00:19:00.000000000
105,41,NextCall,DriverRequest,2018-01-01 10:55:00,2018-01-01 10:55:00,System,0 days 00:00:00.000000000
106,41,AcceptDriverReq,DriverRequest,2018-01-01 10:55:00,2018-01-01 11:13:00,System,0 days 00:18:00.000000000
107,42,NextCall,DriverRequest,2018-01-01 10:56:00,2018-01-01 10:56:00,System,0 days 00:00:00.000000000
108,42,RejectCall,DriverRequest,2018-01-01 10:56:00,2018-01-01 10:56:00,System,0 days 00:00:00.000000000
109,43,NextCall,CarRequest,2018-01-01 10:57:00,2018-01-01 10:57:00,System,0 days 00:00:00.000000000
110,43,RejectCall,CarRequest,2018-01-01 10:57:00,2018-01-01 10:57:00,System,0 days 00:00:00.000000000
111,44,NextCall,CarRequest,2018-01-01 10:59:00,2018-01-01 10:59:00,System,0 days 00:00:00.000000000
112,44,AcceptCarReq,CarRequest,2018-01-01 10:59:00,2018-01-01 10:59:00,System,0 days 00:00:00.000000000
113,12,DoneCarReq,CarRequest,2018-01-01 11:05:00,2018-01-01 11:05:00,System,0 days 00:00:00.000000000
114,16,ProcessNextCarReq,CarRequest,2018-01-01 11:05:00,2018-01-01 11:23:00,Monika,0 days 00:18:00.000000000
115,14,DoneCarReq,CarRequest,2018-01-01 11:08:00,2018-01-01 11:08:00,System,0 days 00:00:00.000000000
116,17,ProcessNextCarReq,CarRequest,2018-01-01 11:08:00,2018-01-01 11:26:00,Chandler,0 days 00:18:00.000000000
117,22,ProcessNextdriverReq,DriverRequest,2018-01-01 11:08:00,2018-01-01 11:26:00,Pheobi,0 days 00:18:00.000000000
118,11,DoneDriverReq,DriverRequest,2018-01-01 11:08:00,2018-01-01 11:08:00,System,0 days 00:00:00.000000000
119,23,ProcessNextdriverReq,DriverRequest,2018-01-01 11:10:00,2018-01-01 11:28:00,Joe,0 days 00:18:00.000000000
120,13,DoneDriverReq,DriverRequest,2018-01-01 11:10:00,2018-01-01 11:10:00,System,0 days 00:00:00.000000000
121,18,ProcessNextCarReq,CarRequest,2018-01-01 11:12:00,2018-01-01 11:30:00,Ross,0 days 00:18:00.000000000
122,15,DoneCarReq,CarRequest,2018-01-01 11:12:00,2018-01-01 11:12:00,System,0 days 00:00:00.000000000
123,16,DoneCarReq,CarRequest,2018-01-01 11:23:00,2018-01-01 11:23:00,System,0 days 00:00:00.000000000
124,19,ProcessNextCarReq,CarRequest,2018-01-01 11:23:00,2018-01-01 11:42:00,Monika,0 days 00:19:00.000000000
125,24,ProcessNextdriverReq,DriverRequest,2018-01-01 11:26:00,2018-01-01 11:44:00,Pheobi,0 days 00:18:00.000000000
126,22,DoneDriverReq,DriverRequest,2018-01-01 11:26:00,2018-01-01 11:26:00,System,0 days 00:00:00.000000000
127,20,ProcessNextCarReq,CarRequest,2018-01-01 11:26:00,2018-01-01 11:45:00,Chandler,0 days 00:19:00.000000000
128,17,DoneCarReq,CarRequest,2018-01-01 11:26:00,2018-01-01 11:26:00,System,0 days 00:00:00.000000000
129,23,DoneDriverReq,DriverRequest,2018-01-01 11:28:00,2018-01-01 11:28:00,System,0 days 00:00:00.000000000
130,25,ProcessNextdriverReq,DriverRequest,2018-01-01 11:28:00,2018-01-01 11:47:00,Joe,0 days 00:19:00.000000000
131,21,ProcessNextCarReq,CarRequest,2018-01-01 11:30:00,2018-01-01 11:50:00,Ross,0 days 00:20:00.000000000
132,18,DoneCarReq,CarRequest,2018-01-01 11:30:00,2018-01-01 11:30:00,System,0 days 00:00:00.000000000
133,19,DoneCarReq,CarRequest,2018-01-01 11:42:00,2018-01-01 11:42:00,System,0 days 00:00:00.000000000
134,26,ProcessNextCarReq,CarRequest,2018-01-01 11:42:00,2018-01-01 12:02:00,Monika,0 days 00:20:00.000000000
135,24,DoneDriverReq,DriverRequest,2018-01-01 11:44:00,2018-01-01 11:44:00,System,0 days 00:00:00.000000000
136,27,ProcessNextdriverReq,DriverRequest,2018-01-01 11:44:00,2018-01-01 12:03:00,Pheobi,0 days 00:19:00.000000000
137,28,ProcessNextCarReq,CarRequest,2018-01-01 11:45:00,2018-01-01 12:07:00,Chandler,0 days 00:22:00.000000000
138,20,DoneCarReq,CarRequest,2018-01-01 11:45:00,2018-01-01 11:45:00,System,0 days 00:00:00.000000000
139,29,ProcessNextdriverReq,DriverRequest,2018-01-01 11:47:00,2018-01-01 12:06:00,Joe,0 days 00:19:00.000000000
140,25,DoneDriverReq,DriverRequest,2018-01-01 11:47:00,2018-01-01 11:47:00,System,0 days 00:00:00.000000000
141,30,ProcessNextCarReq,CarRequest,2018-01-01 11:50:00,2018-01-01 12:13:00,Ross,0 days 00:23:00.000000000
142,21,DoneCarReq,CarRequest,2018-01-01 11:50:00,2018-01-01 11:50:00,System,0 days 00:00:00.000000000
143,45,NextCall,DriverRequest,2018-01-01 11:59:00,2018-01-01 11:59:00,System,0 days 00:00:00.000000000
144,45,AcceptDriverReq,DriverRequest,2018-01-01 11:59:00,2018-01-01 12:19:00,System,0 days 00:20:00.000000000
145,26,DoneCarReq,CarRequest,2018-01-01 12:02:00,2018-01-01 12:02:00,System,0 days 00:00:00.000000000
146,44,ProcessNextCarReq,CarRequest,2018-01-01 12:02:00,2018-01-01 12:30:00,Monika,0 days 00:28:00.000000000
147,27,DoneDriverReq,DriverRequest,2018-01-01 12:03:00,2018-01-01 12:03:00,System,0 days 00:00:00.000000000
148,31,ProcessNextdriverReq,DriverRequest,2018-01-01 12:03:00,2018-01-01 12:22:00,Pheobi,0 days 00:19:00.000000000
149,33,ProcessNextdriverReq,DriverRequest,2018-01-01 12:06:00,2018-01-01 12:26:00,Joe,0 days 00:20:00.000000000
150,29,DoneDriverReq,DriverRequest,2018-01-01 12:06:00,2018-01-01 12:06:00,System,0 days 00:00:00.000000000
151,28,DoneCarReq,CarRequest,2018-01-01 12:07:00,2018-01-01 12:07:00,System,0 days 00:00:00.000000000
152,30,DoneCarReq,CarRequest,2018-01-01 12:13:00,2018-01-01 12:13:00,System,0 days 00:00:00.000000000
153,34,ProcessNextdriverReq,DriverRequest,2018-01-01 12:22:00,2018-01-01 12:43:00,Pheobi,0 days 00:21:00.000000000
154,31,DoneDriverReq,DriverRequest,2018-01-01 12:22:00,2018-01-01 12:22:00,System,0 days 00:00:00.000000000
155,37,ProcessNextdriverReq,DriverRequest,2018-01-01 12:26:00,2018-01-01 12:47:00,Joe,0 days 00:21:00.000000000
156,33,DoneDriverReq,DriverRequest,2018-01-01 12:26:00,2018-01-01 12:26:00,System,0 days 00:00:00.000000000
157,44,DoneCarReq,CarRequest,2018-01-01 12:30:00,2018-01-01 12:30:00,System,0 days 00:00:00.000000000
158,41,ProcessNextdriverReq,DriverRequest,2018-01-01 12:43:00,2018-01-01 13:06:00,Pheobi,0 days 00:23:00.000000000
159,34,DoneDriverReq,DriverRequest,2018-01-01 12:43:00,2018-01-01 12:43:00,System,0 days 00:00:00.000000000
160,45,ProcessNextdriverReq,DriverRequest,2018-01-01 12:47:00,2018-01-01 13:15:00,Joe,0 days 00:28:00.000000000
161,37,DoneDriverReq,DriverRequest,2018-01-01 12:47:00,2018-01-01 12:47:00,System,0 days 00:00:00.000000000
162,46,NextCall,DriverRequest,2018-01-01 13:01:00,2018-01-01 13:01:00,System,0 days 00:00:00.000000000
163,46,AcceptDriverReq,DriverRequest,2018-01-01 13:01:00,2018-01-01 13:29:00,System,0 days 00:28:00.000000000
164,47,NextCall,CarRequest,2018-01-01 13:03:00,2018-01-01 13:03:00,System,0 days 00:00:00.000000000
165,47,AcceptCarReq,CarRequest,2018-01-01 13:03:00,2018-01-01 13:03:00,System,0 days 00:00:00.000000000
166,47,ProcessNextCarReq,CarRequest,2018-01-01 13:03:00,2018-01-01 13:30:00,Ross,0 days 00:27:00.000000000
167,48,NextCall,DriverRequest,2018-01-01 13:04:00,2018-01-01 13:04:00,System,0 days 00:00:00.000000000
168,48,AcceptDriverReq,DriverRequest,2018-01-01 13:04:00,2018-01-01 13:27:00,System,0 days 00:23:00.000000000
169,49,NextCall,CarRequest,2018-01-01 13:05:00,2018-01-01 13:05:00,System,0 days 00:00:00.000000000
170,49,AcceptCarReq,CarRequest,2018-01-01 13:05:00,2018-01-01 13:05:00,System,0 days 00:00:00.000000000
171,49,ProcessNextCarReq,CarRequest,2018-01-01 13:05:00,2018-01-01 13:33:00,Monika,0 days 00:28:00.000000000
172,41,DoneDriverReq,DriverRequest,2018-01-01 13:06:00,2018-01-01 13:06:00,System,0 days 00:00:00.000000000
173,46,ProcessNextdriverReq,DriverRequest,2018-01-01 13:06:00,2018-01-01 13:29:00,Pheobi,0 days 00:23:00.000000000
174,50,NextCall,CarRequest,2018-01-01 13:07:00,2018-01-01 13:07:00,System,0 days 00:00:00.000000000
175,50,AcceptCarReq,CarRequest,2018-01-01 13:07:00,2018-01-01 13:07:00,System,0 days 00:00:00.000000000
176,50,ProcessNextCarReq,CarRequest,2018-01-01 13:07:00,2018-01-01 13:34:00,Chandler,0 days 00:27:00.000000000
177,51,NextCall,CarRequest,2018-01-01 13:08:00,2018-01-01 13:08:00,System,0 days 00:00:00.000000000
178,51,AcceptCarReq,CarRequest,2018-01-01 13:08:00,2018-01-01 13:08:00,System,0 days 00:00:00.000000000
179,52,NextCall,CarRequest,2018-01-01 13:09:00,2018-01-01 13:09:00,System,0 days 00:00:00.000000000
180,52,AcceptCarReq,CarRequest,2018-01-01 13:09:00,2018-01-01 13:09:00,System,0 days 00:00:00.000000000
181,53,NextCall,CarRequest,2018-01-01 13:11:00,2018-01-01 13:11:00,System,0 days 00:00:00.000000000
182,53,AcceptCarReq,CarRequest,2018-01-01 13:11:00,2018-01-01 13:11:00,System,0 days 00:00:00.000000000
183,54,NextCall,DriverRequest,2018-01-01 13:12:00,2018-01-01 13:12:00,System,0 days 00:00:00.000000000
184,54,AcceptDriverReq,DriverRequest,2018-01-01 13:12:00,2018-01-01 13:35:00,System,0 days 00:23:00.000000000
185,55,NextCall,CarRequest,2018-01-01 13:13:00,2018-01-01 13:13:00,System,0 days 00:00:00.000000000
186,55,AcceptCarReq,CarRequest,2018-01-01 13:13:00,2018-01-01 13:13:00,System,0 days 00:00:00.000000000
187,56,NextCall,CarRequest,2018-01-01 13:15:00,2018-01-01 13:15:00,System,0 days 00:00:00.000000000
188,56,AcceptCarReq,CarRequest,2018-01-01 13:15:00,2018-01-01 13:15:00,System,0 days 00:00:00.000000000
189,45,DoneDriverReq,DriverRequest,2018-01-01 13:15:00,2018-01-01 13:15:00,System,0 days 00:00:00.000000000
190,48,ProcessNextdriverReq,DriverRequest,2018-01-01 13:15:00,2018-01-01 13:38:00,Joe,0 days 00:23:00.000000000
191,57,NextCall,DriverRequest,2018-01-01 13:16:00,2018-01-01 13:16:00,System,0 days 00:00:00.000000000
192,57,AcceptDriverReq,DriverRequest,2018-01-01 13:16:00,2018-01-01 13:39:00,System,0 days 00:23:00.000000000
193,58,NextCall,CarRequest,2018-01-01 13:17:00,2018-01-01 13:17:00,System,0 days 00:00:00.000000000
194,58,AcceptCarReq,CarRequest,2018-01-01 13:17:00,2018-01-01 13:17:00,System,0 days 00:00:00.000000000
195,59,NextCall,DriverRequest,2018-01-01 13:19:00,2018-01-01 13:19:00,System,0 days 00:00:00.000000000
196,59,AcceptDriverReq,DriverRequest,2018-01-01 13:19:00,2018-01-01 13:40:00,System,0 days 00:21:00.000000000
197,60,NextCall,CarRequest,2018-01-01 13:20:00,2018-01-01 13:20:00,System,0 days 00:00:00.000000000
198,60,AcceptCarReq,CarRequest,2018-01-01 13:20:00,2018-01-01 13:20:00,System,0 days 00:00:00.000000000
199,61,NextCall,CarRequest,2018-01-01 13:21:00,2018-01-01 13:21:00,System,0 days 00:00:00.000000000
200,61,AcceptCarReq,CarRequest,2018-01-01 13:21:00,2018-01-01 13:21:00,System,0 days 00:00:00.000000000
201,62,NextCall,CarRequest,2018-01-01 13:23:00,2018-01-01 13:23:00,System,0 days 00:00:00.000000000
202,62,AcceptCarReq,CarRequest,2018-01-01 13:23:00,2018-01-01 13:23:00,System,0 days 00:00:00.000000000
203,63,NextCall,CarRequest,2018-01-01 13:24:00,2018-01-01 13:24:00,System,0 days 00:00:00.000000000
204,63,AcceptCarReq,CarRequest,2018-01-01 13:24:00,2018-01-01 13:24:00,System,0 days 00:00:00.000000000
205,64,NextCall,CarRequest,2018-01-01 13:25:00,2018-01-01 13:25:00,System,0 days 00:00:00.000000000
206,64,AcceptCarReq,CarRequest,2018-01-01 13:25:00,2018-01-01 13:25:00,System,0 days 00:00:00.000000000
207,65,NextCall,CarRequest,2018-01-01 13:27:00,2018-01-01 13:27:00,System,0 days 00:00:00.000000000
208,65,AcceptCarReq,CarRequest,2018-01-01 13:27:00,2018-01-01 13:27:00,System,0 days 00:00:00.000000000
209,66,NextCall,CarRequest,2018-01-01 13:28:00,2018-01-01 13:28:00,System,0 days 00:00:00.000000000
210,66,AcceptCarReq,CarRequest,2018-01-01 13:28:00,2018-01-01 13:28:00,System,0 days 00:00:00.000000000
211,46,DoneDriverReq,DriverRequest,2018-01-01 13:29:00,2018-01-01 13:29:00,System,0 days 00:00:00.000000000
212,54,ProcessNextdriverReq,DriverRequest,2018-01-01 13:29:00,2018-01-01 13:51:00,Pheobi,0 days 00:22:00.000000000
213,67,NextCall,DriverRequest,2018-01-01 13:29:00,2018-01-01 13:29:00,System,0 days 00:00:00.000000000
214,67,AcceptDriverReq,DriverRequest,2018-01-01 13:29:00,2018-01-01 13:51:00,System,0 days 00:22:00.000000000
215,51,ProcessNextCarReq,CarRequest,2018-01-01 13:30:00,2018-01-01 13:48:00,Ross,0 days 00:18:00.000000000
216,47,DoneCarReq,CarRequest,2018-01-01 13:30:00,2018-01-01 13:30:00,System,0 days 00:00:00.000000000
217,68,NextCall,DriverRequest,2018-01-01 13:31:00,2018-01-01 13:31:00,System,0 days 00:00:00.000000000
218,68,AcceptDriverReq,DriverRequest,2018-01-01 13:31:00,2018-01-01 13:51:00,System,0 days 00:20:00.000000000
219,69,NextCall,CarRequest,2018-01-01 13:32:00,2018-01-01 13:32:00,System,0 days 00:00:00.000000000
220,69,AcceptCarReq,CarRequest,2018-01-01 13:32:00,2018-01-01 13:32:00,System,0 days 00:00:00.000000000
221,52,ProcessNextCarReq,CarRequest,2018-01-01 13:33:00,2018-01-01 13:51:00,Monika,0 days 00:18:00.000000000
222,49,DoneCarReq,CarRequest,2018-01-01 13:33:00,2018-01-01 13:33:00,System,0 days 00:00:00.000000000
223,70,NextCall,CarRequest,2018-01-01 13:33:00,2018-01-01 13:33:00,System,0 days 00:00:00.000000000
224,70,AcceptCarReq,CarRequest,2018-01-01 13:33:00,2018-01-01 13:33:00,System,0 days 00:00:00.000000000
225,50,DoneCarReq,CarRequest,2018-01-01 13:34:00,2018-01-01 13:34:00,System,0 days 00:00:00.000000000
226,53,ProcessNextCarReq,CarRequest,2018-01-01 13:34:00,2018-01-01 13:52:00,Chandler,0 days 00:18:00.000000000
