case,event,startTime,completeTime,simulated:logProbability,concept:simulated
5,Insurance Check,2021-11-02 21:51:58.860,2021-11-02 21:51:58.860,-5.662960480135946,True
5,Medical Check,2021-11-02 22:51:58.860,2021-11-02 22:51:58.860,-5.662960480135946,True
5,Prepare Questionaire,2021-11-02 23:51:58.860,2021-11-02 23:51:58.860,-5.662960480135946,True
5,Contact Hospital,2021-11-03 00:51:58.860,2021-11-03 00:51:58.860,-5.662960480135946,True
5,Send Questionaire,2021-11-03 01:51:58.860,2021-11-03 01:51:58.860,-5.662960480135946,True
5,Prepare Not,2021-11-03 02:51:58.860,2021-11-03 02:51:58.860,-5.662960480135946,True
5,Phone,2021-11-03 03:51:58.860,2021-11-03 03:51:58.860,-5.662960480135946,True
5,Receive Response,2021-11-03 04:51:58.860,2021-11-03 04:51:58.860,-5.662960480135946,True
5,Archive,2021-11-03 05:51:58.860,2021-11-03 05:51:58.860,-5.662960480135946,True
6,Register Claim,2021-11-02 20:12:02.581,2021-11-02 20:12:02.581,-6.356107660695892,True
6,Decide Low,2021-11-02 21:12:02.581,2021-11-02 21:12:02.581,-6.356107660695892,True
6,Low Med Check,2021-11-02 22:12:02.581,2021-11-02 22:12:02.581,-6.356107660695892,True
6,Low Ins check,2021-11-02 23:12:02.581,2021-11-02 23:12:02.581,-6.356107660695892,True
6,Prepare Questionaire,2021-11-03 00:12:02.581,2021-11-03 00:12:02.581,-6.356107660695892,True
6,Low Claim Join,2021-11-03 01:12:02.581,2021-11-03 01:12:02.581,-6.356107660695892,True
6,Prepare Not,2021-11-03 02:12:02.581,2021-11-03 02:12:02.581,-6.356107660695892,True
6,E-Mail,2021-11-03 03:12:02.581,2021-11-03 03:12:02.581,-6.356107660695892,True
6,Send Questionaire,2021-11-03 04:12:02.581,2021-11-03 04:12:02.581,-6.356107660695892,True
6,Receive Response,2021-11-03 05:12:02.581,2021-11-03 05:12:02.581,-6.356107660695892,True
6,Archive,2021-11-03 06:12:02.581,2021-11-03 06:12:02.581,-6.356107660695892,True
7,Register Claim,2021-11-02 20:51:09.863,2021-11-02 20:51:09.863,-6.068425588244111,True
7,Decide Low,2021-11-02 21:51:09.863,2021-11-02 21:51:09.863,-6.068425588244111,True
7,Low Med Check,2021-11-02 22:51:09.863,2021-11-02 22:51:09.863,-6.068425588244111,True
7,Prepare Questionaire,2021-11-02 23:51:09.863,2021-11-02 23:51:09.863,-6.068425588244111,True
7,Low Ins check,2021-11-03 00:51:09.863,2021-11-03 00:51:09.863,-6.068425588244111,True
7,Low Claim Join,2021-11-03 01:51:09.863,2021-11-03 01:51:09.863,-6.068425588244111,True
7,Send Questionaire,2021-11-03 02:51:09.863,2021-11-03 02:51:09.863,-6.068425588244111,True
7,Prepare Not,2021-11-03 03:51:09.863,2021-11-03 03:51:09.863,-6.068425588244111,True
7,Post,2021-11-03 04:51:09.863,2021-11-03 04:51:09.863,-6.068425588244111,True
7,Receive Response,2021-11-03 05:51:09.863,2021-11-03 05:51:09.863,-6.068425588244111,True
7,Archive,2021-11-03 06:51:09.863,2021-11-03 06:51:09.863,-6.068425588244111,True
8,Register Claim,2021-11-02 21:02:22.180,2021-11-02 21:02:22.180,-5.662960480135946,True
8,Decide High,2021-11-02 22:02:22.180,2021-11-02 22:02:22.180,-5.662960480135946,True
8,Insurance Check,2021-11-02 23:02:22.180,2021-11-02 23:02:22.180,-5.662960480135946,True
8,Medical Check,2021-11-03 00:02:22.180,2021-11-03 00:02:22.180,-5.662960480135946,True
8,Prepare Questionaire,2021-11-03 01:02:22.180,2021-11-03 01:02:22.180,-5.662960480135946,True
8,Contact Hospital,2021-11-03 02:02:22.180,2021-11-03 02:02:22.180,-5.662960480135946,True
8,Send Questionaire,2021-11-03 03:02:22.180,2021-11-03 03:02:22.180,-5.662960480135946,True
8,Prepare Not,2021-11-03 04:02:22.180,2021-11-03 04:02:22.180,-5.662960480135946,True
8,Post,2021-11-03 05:02:22.180,2021-11-03 05:02:22.180,-5.662960480135946,True
8,Receive Response,2021-11-03 06:02:22.180,2021-11-03 06:02:22.180,-5.662960480135946,True
8,Archive,2021-11-03 07:02:22.180,2021-11-03 07:02:22.180,-5.662960480135946,True
9,Register Claim,2021-11-02 21:48:13.931,2021-11-02 21:48:13.931,-6.068425588244111,True
9,Decide Low,2021-11-02 22:48:13.931,2021-11-02 22:48:13.931,-6.068425588244111,True
9,Low Ins check,2021-11-02 23:48:13.931,2021-11-02 23:48:13.931,-6.068425588244111,True
9,Low Med Check,2021-11-03 00:48:13.931,2021-11-03 00:48:13.931,-6.068425588244111,True
9,Prepare Questionaire,2021-11-03 01:48:13.931,2021-11-03 01:48:13.931,-6.068425588244111,True
9,Low Claim Join,2021-11-03 02:48:13.931,2021-11-03 02:48:13.931,-6.068425588244111,True
9,Send Questionaire,2021-11-03 03:48:13.931,2021-11-03 03:48:13.931,-6.068425588244111,True
9,Prepare Not,2021-11-03 04:48:13.931,2021-11-03 04:48:13.931,-6.068425588244111,True
9,E-Mail,2021-11-03 05:48:13.931,2021-11-03 05:48:13.931,-6.068425588244111,True
9,Receive Response,2021-11-03 06:48:13.931,2021-11-03 06:48:13.931,-6.068425588244111,True
9,Archive,2021-11-03 07:48:13.931,2021-11-03 07:48:13.931,-6.068425588244111,True
10,Register Claim,2021-11-02 22:20:43.719,2021-11-02 22:20:43.719,-6.473890696352275,True
10,Decide Low,2021-11-02 23:20:43.719,2021-11-02 23:20:43.719,-6.473890696352275,True
10,Prepare Questionaire,2021-11-03 00:20:43.719,2021-11-03 00:20:43.719,-6.473890696352275,True
10,Low Med Check,2021-11-03 01:20:43.719,2021-11-03 01:20:43.719,-6.473890696352275,True
10,Low Ins check,2021-11-03 02:20:43.719,2021-11-03 02:20:43.719,-6.473890696352275,True
10,Low Claim Join,2021-11-03 03:20:43.719,2021-11-03 03:20:43.719,-6.473890696352275,True
10,Send Questionaire,2021-11-03 04:20:43.719,2021-11-03 04:20:43.719,-6.473890696352275,True
10,Prepare Not,2021-11-03 05:20:43.719,2021-11-03 05:20:43.719,-6.473890696352275,True
10,Post,2021-11-03 06:20:43.719,2021-11-03 06:20:43.719,-6.473890696352275,True
10,Receive Response,2021-11-03 07:20:43.719,2021-11-03 07:20:43.719,-6.473890696352275,True
10,Archive,2021-11-03 08:20:43.719,2021-11-03 08:20:43.719,-6.473890696352275,True
11,Register Claim,2021-11-02 22:50:01.138,2021-11-02 22:50:01.138,-3.58351893845611,True
11,Decide High,2021-11-02 23:50:01.138,2021-11-02 23:50:01.138,-3.58351893845611,True
11,Prepare Questionaire,2021-11-03 00:50:01.138,2021-11-03 00:50:01.138,-3.58351893845611,True
11,Send Questionaire,2021-11-03 01:50:01.138,2021-11-03 01:50:01.138,-3.58351893845611,True
11,Insurance Check,2021-11-03 02:50:01.138,2021-11-03 02:50:01.138,-3.58351893845611,True
11,Medical Check,2021-11-03 03:50:01.138,2021-11-03 03:50:01.138,-3.58351893845611,True
11,Contact Hospital,2021-11-03 04:50:01.138,2021-11-03 04:50:01.138,-3.58351893845611,True
11,Prepare Not,2021-11-03 05:50:01.138,2021-11-03 05:50:01.138,-3.58351893845611,True
11,E-Mail,2021-11-03 06:50:01.138,2021-11-03 06:50:01.138,-3.58351893845611,True
11,Receive Response,2021-11-03 07:50:01.138,2021-11-03 07:50:01.138,-3.58351893845611,True
11,Archive,2021-11-03 08:50:01.138,2021-11-03 08:50:01.138,-3.58351893845611,True
12,Register Claim,2021-11-03 01:18:03.026,2021-11-03 01:18:03.026,-4.68213122712422,True
12,Decide Low,2021-11-03 02:18:03.026,2021-11-03 02:18:03.026,-4.68213122712422,True
12,Low Ins check,2021-11-03 03:18:03.026,2021-11-03 03:18:03.026,-4.68213122712422,True
12,Prepare Questionaire,2021-11-03 04:18:03.026,2021-11-03 04:18:03.026,-4.68213122712422,True
12,Send Questionaire,2021-11-03 05:18:03.026,2021-11-03 05:18:03.026,-4.68213122712422,True
12,Low Med Check,2021-11-03 06:18:03.026,2021-11-03 06:18:03.026,-4.68213122712422,True
12,Low Claim Join,2021-11-03 07:18:03.026,2021-11-03 07:18:03.026,-4.68213122712422,True
12,Prepare Not,2021-11-03 08:18:03.026,2021-11-03 08:18:03.026,-4.68213122712422,True
12,Post,2021-11-03 09:18:03.026,2021-11-03 09:18:03.026,-4.68213122712422,True
12,Receive Response,2021-11-03 10:18:03.026,2021-11-03 10:18:03.026,-4.68213122712422,True
12,Archive,2021-11-03 11:18:03.026,2021-11-03 11:18:03.026,-4.68213122712422,True
13,Register Claim,2021-11-03 02:03:33.084,2021-11-03 02:03:33.084,-3.9889840465642745,True
13,Prepare Questionaire,2021-11-03 03:03:33.084,2021-11-03 03:03:33.084,-3.9889840465642745,True
13,Send Questionaire,2021-11-03 04:03:33.084,2021-11-03 04:03:33.084,-3.9889840465642745,True
13,Decide High,2021-11-03 05:03:33.084,2021-11-03 05:03:33.084,-3.9889840465642745,True
13,Insurance Check,2021-11-03 06:03:33.084,2021-11-03 06:03:33.084,-3.9889840465642745,True
13,Medical Check,2021-11-03 07:03:33.084,2021-11-03 07:03:33.084,-3.9889840465642745,True
13,Contact Hospital,2021-11-03 08:03:33.084,2021-11-03 08:03:33.084,-3.9889840465642745,True
13,Prepare Not,2021-11-03 09:03:33.084,2021-11-03 09:03:33.084,-3.9889840465642745,True
13,Post,2021-11-03 10:03:33.084,2021-11-03 10:03:33.084,-3.9889840465642745,True
13,Receive Response,2021-11-03 11:03:33.084,2021-11-03 11:03:33.084,-3.9889840465642745,True
13,Archive,2021-11-03 12:03:33.084,2021-11-03 12:03:33.084,-3.9889840465642745,True
14,Register Claim,2021-11-03 03:11:43.599,2021-11-03 03:11:43.599,-5.950642552587727,True
14,Decide High,2021-11-03 04:11:43.599,2021-11-03 04:11:43.599,-5.950642552587727,True
14,Insurance Check,2021-11-03 05:11:43.599,2021-11-03 05:11:43.599,-5.950642552587727,True
14,Medical Check,2021-11-03 06:11:43.599,2021-11-03 06:11:43.599,-5.950642552587727,True
14,Prepare Questionaire,2021-11-03 07:11:43.599,2021-11-03 07:11:43.599,-5.950642552587727,True
14,Contact Hospital,2021-11-03 08:11:43.599,2021-11-03 08:11:43.599,-5.950642552587727,True
14,Prepare Not,2021-11-03 09:11:43.599,2021-11-03 09:11:43.599,-5.950642552587727,True
14,Phone,2021-11-03 10:11:43.599,2021-11-03 10:11:43.599,-5.950642552587727,True
14,Send Questionaire,2021-11-03 11:11:43.599,2021-11-03 11:11:43.599,-5.950642552587727,True
14,Receive Response,2021-11-03 12:11:43.599,2021-11-03 12:11:43.599,-5.950642552587727,True
14,Archive,2021-11-03 13:11:43.599,2021-11-03 13:11:43.599,-5.950642552587727,True
15,Register Claim,2021-11-03 03:19:44.246,2021-11-03 03:19:44.246,-4.276666119016055,True
15,Decide High,2021-11-03 04:19:44.246,2021-11-03 04:19:44.246,-4.276666119016055,True
15,Prepare Questionaire,2021-11-03 05:19:44.246,2021-11-03 05:19:44.246,-4.276666119016055,True
15,Insurance Check,2021-11-03 06:19:44.246,2021-11-03 06:19:44.246,-4.276666119016055,True
15,Send Questionaire,2021-11-03 07:19:44.246,2021-11-03 07:19:44.246,-4.276666119016055,True
15,Medical Check,2021-11-03 08:19:44.246,2021-11-03 08:19:44.246,-4.276666119016055,True
15,Contact Hospital,2021-11-03 09:19:44.246,2021-11-03 09:19:44.246,-4.276666119016055,True
15,Prepare Not,2021-11-03 10:19:44.246,2021-11-03 10:19:44.246,-4.276666119016055,True
15,Post,2021-11-03 11:19:44.246,2021-11-03 11:19:44.246,-4.276666119016055,True
15,Receive Response,2021-11-03 12:19:44.246,2021-11-03 12:19:44.246,-4.276666119016055,True
15,Archive,2021-11-03 13:19:44.246,2021-11-03 13:19:44.246,-4.276666119016055,True
16,Register Claim,2021-11-03 03:34:08.420,2021-11-03 03:34:08.420,-6.068425588244111,True
16,Decide Low,2021-11-03 04:34:08.420,2021-11-03 04:34:08.420,-6.068425588244111,True
16,Low Med Check,2021-11-03 05:34:08.420,2021-11-03 05:34:08.420,-6.068425588244111,True
16,Low Ins check,2021-11-03 06:34:08.420,2021-11-03 06:34:08.420,-6.068425588244111,True
16,Low Claim Join,2021-11-03 07:34:08.420,2021-11-03 07:34:08.420,-6.068425588244111,True
16,Prepare Questionaire,2021-11-03 08:34:08.420,2021-11-03 08:34:08.420,-6.068425588244111,True
16,Send Questionaire,2021-11-03 09:34:08.420,2021-11-03 09:34:08.420,-6.068425588244111,True
16,Prepare Not,2021-11-03 10:34:08.420,2021-11-03 10:34:08.420,-6.068425588244111,True
16,Phone,2021-11-03 11:34:08.420,2021-11-03 11:34:08.420,-6.068425588244111,True
16,Receive Response,2021-11-03 12:34:08.420,2021-11-03 12:34:08.420,-6.068425588244111,True
16,Archive,2021-11-03 13:34:08.420,2021-11-03 13:34:08.420,-6.068425588244111,True
17,Register Claim,2021-11-03 03:34:59.825,2021-11-03 03:34:59.825,-6.068425588244111,True
17,Decide Low,2021-11-03 04:34:59.825,2021-11-03 04:34:59.825,-6.068425588244111,True
17,Low Med Check,2021-11-03 05:34:59.825,2021-11-03 05:34:59.825,-6.068425588244111,True
17,Low Ins check,2021-11-03 06:34:59.825,2021-11-03 06:34:59.825,-6.068425588244111,True
17,Low Claim Join,2021-11-03 07:34:59.825,2021-11-03 07:34:59.825,-6.068425588244111,True
17,Prepare Questionaire,2021-11-03 08:34:59.825,2021-11-03 08:34:59.825,-6.068425588244111,True
17,Send Questionaire,2021-11-03 09:34:59.825,2021-11-03 09:34:59.825,-6.068425588244111,True
17,Prepare Not,2021-11-03 10:34:59.825,2021-11-03 10:34:59.825,-6.068425588244111,True
17,E-Mail,2021-11-03 11:34:59.825,2021-11-03 11:34:59.825,-6.068425588244111,True
17,Receive Response,2021-11-03 12:34:59.825,2021-11-03 12:34:59.825,-6.068425588244111,True
17,Archive,2021-11-03 13:34:59.825,2021-11-03 13:34:59.825,-6.068425588244111,True
18,Register Claim,2021-11-03 03:40:53.264,2021-11-03 03:40:53.264,-5.2574953720277815,True
18,Decide High,2021-11-03 04:40:53.264,2021-11-03 04:40:53.264,-5.2574953720277815,True
18,Insurance Check,2021-11-03 05:40:53.264,2021-11-03 05:40:53.264,-5.2574953720277815,True
18,Medical Check,2021-11-03 06:40:53.264,2021-11-03 06:40:53.264,-5.2574953720277815,True
18,Contact Hospital,2021-11-03 07:40:53.264,2021-11-03 07:40:53.264,-5.2574953720277815,True
18,Prepare Not,2021-11-03 08:40:53.264,2021-11-03 08:40:53.264,-5.2574953720277815,True
18,Phone,2021-11-03 09:40:53.264,2021-11-03 09:40:53.264,-5.2574953720277815,True
18,Prepare Questionaire,2021-11-03 10:40:53.264,2021-11-03 10:40:53.264,-5.2574953720277815,True
18,Send Questionaire,2021-11-03 11:40:53.264,2021-11-03 11:40:53.264,-5.2574953720277815,True
18,Receive Response,2021-11-03 12:40:53.264,2021-11-03 12:40:53.264,-5.2574953720277815,True
18,Archive,2021-11-03 13:40:53.264,2021-11-03 13:40:53.264,-5.2574953720277815,True
19,Register Claim,2021-11-03 03:56:16.380,2021-11-03 03:56:16.380,-5.950642552587727,True
19,Decide High,2021-11-03 04:56:16.380,2021-11-03 04:56:16.380,-5.950642552587727,True
19,Prepare Questionaire,2021-11-03 05:56:16.380,2021-11-03 05:56:16.380,-5.950642552587727,True
19,Insurance Check,2021-11-03 06:56:16.380,2021-11-03 06:56:16.380,-5.950642552587727,True
19,Medical Check,2021-11-03 07:56:16.380,2021-11-03 07:56:16.380,-5.950642552587727,True
19,Contact Hospital,2021-11-03 08:56:16.380,2021-11-03 08:56:16.380,-5.950642552587727,True
19,Prepare Not,2021-11-03 09:56:16.380,2021-11-03 09:56:16.380,-5.950642552587727,True
19,E-Mail,2021-11-03 10:56:16.380,2021-11-03 10:56:16.380,-5.950642552587727,True
19,Send Questionaire,2021-11-03 11:56:16.380,2021-11-03 11:56:16.380,-5.950642552587727,True
19,Receive Response,2021-11-03 12:56:16.380,2021-11-03 12:56:16.380,-5.950642552587727,True
19,Archive,2021-11-03 13:56:16.380,2021-11-03 13:56:16.380,-5.950642552587727,True
20,Register Claim,2021-11-03 04:23:32.541,2021-11-03 04:23:32.541,-5.0875963352323845,True
20,Decide Low,2021-11-03 05:23:32.541,2021-11-03 05:23:32.541,-5.0875963352323845,True
20,Prepare Questionaire,2021-11-03 06:23:32.541,2021-11-03 06:23:32.541,-5.0875963352323845,True
20,Send Questionaire,2021-11-03 07:23:32.541,2021-11-03 07:23:32.541,-5.0875963352323845,True
20,Low Ins check,2021-11-03 08:23:32.541,2021-11-03 08:23:32.541,-5.0875963352323845,True
20,Low Med Check,2021-11-03 09:23:32.541,2021-11-03 09:23:32.541,-5.0875963352323845,True
20,Low Claim Join,2021-11-03 10:23:32.541,2021-11-03 10:23:32.541,-5.0875963352323845,True
20,Prepare Not,2021-11-03 11:23:32.541,2021-11-03 11:23:32.541,-5.0875963352323845,True
20,Post,2021-11-03 12:23:32.541,2021-11-03 12:23:32.541,-5.0875963352323845,True
20,Receive Response,2021-11-03 13:23:32.541,2021-11-03 13:23:32.541,-5.0875963352323845,True
20,Archive,2021-11-03 14:23:32.541,2021-11-03 14:23:32.541,-5.0875963352323845,True
21,Register Claim,2021-11-03 05:04:37.152,2021-11-03 05:04:37.152,-5.2574953720277815,True
21,Decide High,2021-11-03 06:04:37.152,2021-11-03 06:04:37.152,-5.2574953720277815,True
21,Insurance Check,2021-11-03 07:04:37.152,2021-11-03 07:04:37.152,-5.2574953720277815,True
21,Medical Check,2021-11-03 08:04:37.152,2021-11-03 08:04:37.152,-5.2574953720277815,True
21,Contact Hospital,2021-11-03 09:04:37.152,2021-11-03 09:04:37.152,-5.2574953720277815,True
21,Prepare Not,2021-11-03 10:04:37.152,2021-11-03 10:04:37.152,-5.2574953720277815,True
21,Post,2021-11-03 11:04:37.152,2021-11-03 11:04:37.152,-5.2574953720277815,True
21,Prepare Questionaire,2021-11-03 12:04:37.152,2021-11-03 12:04:37.152,-5.2574953720277815,True
21,Send Questionaire,2021-11-03 13:04:37.152,2021-11-03 13:04:37.152,-5.2574953720277815,True
21,Receive Response,2021-11-03 14:04:37.152,2021-11-03 14:04:37.152,-5.2574953720277815,True
21,Archive,2021-11-03 15:04:37.152,2021-11-03 15:04:37.152,-5.2574953720277815,True
22,Register Claim,2021-11-03 09:01:51.731,2021-11-03 09:01:51.731,-5.950642552587727,True
22,Decide High,2021-11-03 10:01:51.731,2021-11-03 10:01:51.731,-5.950642552587727,True
22,Prepare Questionaire,2021-11-03 11:01:51.731,2021-11-03 11:01:51.731,-5.950642552587727,True
22,Insurance Check,2021-11-03 12:01:51.731,2021-11-03 12:01:51.731,-5.950642552587727,True
22,Medical Check,2021-11-03 13:01:51.731,2021-11-03 13:01:51.731,-5.950642552587727,True
22,Contact Hospital,2021-11-03 14:01:51.731,2021-11-03 14:01:51.731,-5.950642552587727,True
22,Prepare Not,2021-11-03 15:01:51.731,2021-11-03 15:01:51.731,-5.950642552587727,True
22,Post,2021-11-03 16:01:51.731,2021-11-03 16:01:51.731,-5.950642552587727,True
22,Send Questionaire,2021-11-03 17:01:51.731,2021-11-03 17:01:51.731,-5.950642552587727,True
22,Receive Response,2021-11-03 18:01:51.731,2021-11-03 18:01:51.731,-5.950642552587727,True
22,Archive,2021-11-03 19:01:51.731,2021-11-03 19:01:51.731,-5.950642552587727,True
23,Register Claim,2021-11-03 09:25:32.538,2021-11-03 09:25:32.538,-6.473890696352275,True
23,Decide Low,2021-11-03 10:25:32.538,2021-11-03 10:25:32.538,-6.473890696352275,True
23,Prepare Questionaire,2021-11-03 11:25:32.538,2021-11-03 11:25:32.538,-6.473890696352275,True
23,Low Ins check,2021-11-03 12:25:32.538,2021-11-03 12:25:32.538,-6.473890696352275,True
23,Low Med Check,2021-11-03 13:25:32.538,2021-11-03 13:25:32.538,-6.473890696352275,True
23,Low Claim Join,2021-11-03 14:25:32.538,2021-11-03 14:25:32.538,-6.473890696352275,True
23,Send Questionaire,2021-11-03 15:25:32.538,2021-11-03 15:25:32.538,-6.473890696352275,True
23,Prepare Not,2021-11-03 16:25:32.538,2021-11-03 16:25:32.538,-6.473890696352275,True
23,Phone,2021-11-03 17:25:32.538,2021-11-03 17:25:32.538,-6.473890696352275,True
23,Receive Response,2021-11-03 18:25:32.538,2021-11-03 18:25:32.538,-6.473890696352275,True
23,Archive,2021-11-03 19:25:32.538,2021-11-03 19:25:32.538,-6.473890696352275,True
24,Register Claim,2021-11-03 12:01:32.481,2021-11-03 12:01:32.481,-5.0875963352323845,True
24,Prepare Questionaire,2021-11-03 13:01:32.481,2021-11-03 13:01:32.481,-5.0875963352323845,True
24,Decide Low,2021-11-03 14:01:32.481,2021-11-03 14:01:32.481,-5.0875963352323845,True
24,Low Med Check,2021-11-03 15:01:32.481,2021-11-03 15:01:32.481,-5.0875963352323845,True
24,Send Questionaire,2021-11-03 16:01:32.481,2021-11-03 16:01:32.481,-5.0875963352323845,True
24,Low Ins check,2021-11-03 17:01:32.481,2021-11-03 17:01:32.481,-5.0875963352323845,True
24,Low Claim Join,2021-11-03 18:01:32.481,2021-11-03 18:01:32.481,-5.0875963352323845,True
24,Prepare Not,2021-11-03 19:01:32.481,2021-11-03 19:01:32.481,-5.0875963352323845,True
24,Post,2021-11-03 20:01:32.481,2021-11-03 20:01:32.481,-5.0875963352323845,True
24,Receive Response,2021-11-03 21:01:32.481,2021-11-03 21:01:32.481,-5.0875963352323845,True
24,Archive,2021-11-03 22:01:32.481,2021-11-03 22:01:32.481,-5.0875963352323845,True
25,Register Claim,2021-11-03 14:04:59.422,2021-11-03 14:04:59.422,-5.0875963352323845,True
25,Prepare Questionaire,2021-11-03 15:04:59.422,2021-11-03 15:04:59.422,-5.0875963352323845,True
25,Decide Low,2021-11-03 16:04:59.422,2021-11-03 16:04:59.422,-5.0875963352323845,True
25,Send Questionaire,2021-11-03 17:04:59.422,2021-11-03 17:04:59.422,-5.0875963352323845,True
